"","stop_id","stop_name","stop_lat","stop_lon","zip"
"318","900000003204","Berlin, Kleiner Tiergarten",52.52499,13.345764,"10551"
"319","900000003251","Berlin, Paulstr.",52.520069,13.355662,"10557"
"320","900000003252","Berlin, Schloss Bellevue",52.516715,13.354203,"10557"
"321","900000003253","Berlin, Haus der Kulturen der Welt",52.517598,13.363364,"10557"
"322","900000003256","Berlin, Spenerstr.",52.524002,13.353543,"10557"
"323","900000003257","Berlin, Lesser-Ury-Weg",52.524211,13.361978,"10557"
"324","900000004101","Berlin, Großer Stern",52.515143,13.350177,"10557"
"325","900000004104","Berlin, Reichstag/Bundestag",52.517716,13.37648,"10117"
"326","900000004105","Berlin, Platz der Republik",52.517786,13.370442,"10117"
"327","900000004151","Berlin, Nordische Botschaften/Adenauer-Stiftung",52.509593,13.351406,"10787"
"328","900000004181","Berlin, Hertzallee",52.509231,13.332615,"10625"
"329","900000005101","Berlin, Budapester Str.",52.506567,13.345672,"10787"
"330","900000005103","Berlin, Schillstr.",52.503103,13.349926,"10787"
"331","900000005105","Berlin, Lützowplatz",52.5049,13.351557,"10787"
"332","900000005152","Berlin, Gedenkstätte Dt. Widerstand",52.505736,13.363292,"10117"
"333","900000005154","Berlin, Köbisstr.",52.507165,13.356266,"10787"
"334","900000005156","Berlin, Bayreuther Str.",52.50443,13.343958,"10787"
"335","900000005201","U Kurfürstenstr. (Berlin)",52.499778,13.362857,"10785"
"336","900000005202","Berlin, Lützowstr./Potsdamer Str.",52.503422,13.366003,"10117"
"337","900000005205","Berlin, Potsdamer Brücke",52.505948,13.368306,"10117"
"338","900000005206","Berlin, Philharmonie",52.51008,13.368434,"10117"
"339","900000005252","U Mendelssohn-Bartholdy-Park (Berlin)",52.503806,13.374719,"10117"
"340","900000005253","Berlin, Schöneberger Brücke",52.502333,13.377751,"10117"
"341","900000005255","Berlin, Kulturforum",52.507564,13.369181,"10117"
"342","900000006102","Berlin, Prinzenallee/Soldiner Str.",52.558656,13.386241,"13359"
"343","900000006103","Berlin, Residenzstr./Reginhardstr.",52.560142,13.370523,"13409"
"344","900000006104","Berlin, Soldiner Str./Koloniestr.",52.560083,13.381051,"13359"
"345","900000006105","Berlin, Verlängerte Koloniestr.",52.567545,13.384648,"13409"
"346","900000006153","Berlin, St.-Elisabeth-Kirchhof",52.560498,13.387759,"13359"
"347","900000007102","S+U Gesundbrunnen Bhf (Berlin)",52.548637,13.388372,"13359"
"348","900000007103","U Voltastr. (Berlin)",52.54193,13.393157,"10437"
"349","900000007104","S Nordbahnhof (Berlin)",52.531673,13.388794,"10115"
"350","900000007105","Berlin, Wolliner Str.",52.53977,13.4018,"10437"
"351","900000007106","Berlin, Usedomer Str./Feldstr.",52.539233,13.387132,"13355"
"352","900000007110","U Bernauer Str. (Berlin)",52.537994,13.396231,"10115"
"353","900000007111","Berlin, Lortzingstr.",52.544304,13.399173,"10437"
"354","900000007112","Berlin, Gartenplatz",52.538422,13.384276,"13355"
"355","900000007113","Berlin, Theodor-Heuss-Weg",52.534952,13.385862,"10115"
"356","900000007114","Berlin, Gartenstr./Feldstr.",52.536522,13.383818,"13355"
"357","900000007154","Berlin, Demminer Str.",52.542611,13.399429,"10437"
"358","900000007155","Berlin, Gleimstr.",52.546042,13.398079,"10437"
