"","c.zips5..zips6..zips7..zips8..zips9..zips10."
"1676","14478"
"1677","14467"
"1678","14467"
"1679","14469"
"1680","14469"
"1681","14469"
"1682","14469"
"1683","14478"
"1684","14478"
"1685","14473"
"1686","14473"
"1687","14478"
"1688","14478"
"1689","14473"
"1690","14473"
"1691","14467"
"1692","14467"
"1693","14478"
"1694","14478"
"1695","14467"
"1696","14467"
"1697","14467"
"1698","14467"
"1699","14467"
"1700","14469"
"1701","14469"
"1702","14467"
"1703","14467"
"1704","14467"
"1705","14467"
"1706","14467"
"1707","14467"
"1708","14473"
"1709","14473"
"1710","14469"
"1711","14469"
"1712","14473"
"1713","14473"
"1714","14478"
"1715","14478"
"1716","14727"
"1717","16348"
"1718","16321"
"1719","16321"
"1720","14480"
"1721","14480"
"1722","14478"
"1723","14478"
"1724","14480"
"1725","14480"
"1726","14480"
"1727","14480"
"1728","14478"
"1729","14478"
"1730","14480"
"1731","14480"
"1732","14480"
"1733","14480"
"1734","14480"
"1735","14480"
"1736","14480"
"1737","14480"
"1738","14480"
"1739","14478"
"1740","14478"
"1741","14478"
"1742","14478"
"1743","14480"
"1744","14480"
"1745","14467"
"1746","14467"
"1747","14471"
"1748","14467"
"1749","14467"
"1750","14467"
"1751","14467"
"1752","14480"
"1753","14480"
"1754","14469"
"1755","14469"
"1756","14480"
"1757","14480"
"1758","14469"
"1759","14469"
"1760","14480"
"1761","14480"
"1762","14471"
"1763","14469"
"1764","14469"
"1765","14467"
"1766","14467"
"1767","14480"
"1768","14480"
"1769","14480"
"1770","14480"
"1771","14480"
"1772","14480"
"1773","14480"
"1774","14480"
"1775","14471"
"1776","14471"
"1777","14482"
"1778","14482"
"1779","15374"
"1780","10365"
"1781","16321"
"1782","14778"
"1783","14822"
"1784","14776"
"1785","12529"
"1786","66-470"
"1787","13059"
"1788","13057"
"1789","15711"
"1790","15713"
"1791","15712"
"1792","15712"
"1793","15754"
"1794","15299"
"1795","15848"
"1796","15859"
"1797","15859"
"1798","15859"
"1799","15864"
"1800","15848"
"1801","15848"
"1802","15848"
"1803","15848"
"1804","15299"
"1805","15299"
"1806","16269"
"1807","16259"
"1808","16259"
"1809","15320"
"1810","16269"
"1811","15324"
"1812","15326"
"1813","15306"
"1814","15306"
"1815","17268"
"1816","17268"
"1817","16230"
"1818","16230"
"1819","16225"
"1820","16356"
"1821","16356"
"1822","16356"
"1823","16321"
"1824","16356"
"1825","16356"
"1826","16248"
"1827","16247"
"1828","16247"
"1829","16247"
"1830","15230"
"1831","15236"
"1832","16909"
"1833","16909"
"1834","16866"
